state,x,y
Arunachal Pradesh,213,133
Nagaland,202,80
Manipur,196,54
Mizoram,180,22
Tripura,158,29
Assam,160,84
Meghalaya,146,64
Sikkim,97,103
West Bengal,89,15
Bihar,50,61
Jharkhand,36,20
Orissa,28,-36
Chhattisgarh,-19,-20
Uttar Pradesh,-38,83
Uttarakhand,-64,147
Madhya Pradesh,-90,13
Rajasthan,-171,84
Gujarat,-208,5
Haryana,-111,127
Punjab,-128,170
Chandigarh,-103,156
Himachal Pradesh,-97,185
Jammu & Kashmir,-102,239
Tamil Nadu,-81,-228
Kerala,-115,-255
Karnataka,-134,-152
Andhra Pradesh,-75,-153
Telangana,-70,-89
Goa,-161,-137
Maharastra,-144,-58
Puducherry,-56,-209
Andaman & Nicobar Islands,194,-209
Lakshadweep,-205,-220
